,movie,year,imdb,metascore,votes,n_imdb
1997,White Men Can't Jump,1992,6.7,65,68077,67.0
1998,Porco Rosso,1992,7.8,83,60360,78.0
1999,El Mariachi,1992,6.9,73,58466,69.0
2000,Far and Away,1992,6.6,49,54331,66.0
2001,The Mighty Ducks,1992,6.5,46,52201,65.0
2002,Chaplin,1992,7.6,47,49023,76.0
2003,The Player,1992,7.6,86,48878,76.0
2004,A River Runs Through It,1992,7.3,68,48436,73.0
2005,The Crying Game,1992,7.3,90,46857,73.0
2006,The Muppet Christmas Carol,1992,7.7,64,42451,77.0
2007,Buffy the Vampire Slayer,1992,5.6,48,36350,56.0
2008,Encino Man,1992,5.7,25,34179,57.0
2009,Reservoir Dogs,1992,8.3,79,807437,83.0
2010,Unforgiven,1992,8.2,85,335142,82.0
2011,Aladdin,1992,8.0,86,313304,80.0
2012,Alien³,1992,6.4,59,251358,64.0
2013,Batman Returns,1992,7.0,68,249325,70.0
2014,Scent of a Woman,1992,8.0,59,228704,80.0
2015,A Few Good Men,1992,7.7,62,211790,77.0
2016,Bram Stoker's Dracula,1992,7.5,57,170859,75.0
2017,Basic Instinct,1992,6.9,41,154606,69.0
2018,Army of Darkness,1992,7.6,57,149330,76.0
2019,Lethal Weapon 3,1992,6.7,40,144333,67.0
2020,The Last of the Mohicans,1992,7.8,76,134276,78.0
2021,Wayne's World,1992,7.0,57,130678,70.0
2022,The Bodyguard,1992,6.2,39,106683,62.0
2023,My Cousin Vinny,1992,7.6,68,95227,76.0
2024,Death Becomes Her,1992,6.5,56,92914,65.0
2025,Patriot Games,1992,6.9,64,92860,69.0
2026,Glengarry Glen Ross,1992,7.8,80,87765,78.0
2027,Dead Alive,1992,7.5,54,85857,75.0
2028,A League of Their Own,1992,7.2,67,83174,72.0
2029,Sister Act,1992,6.3,51,77742,63.0
2030,Universal Soldier,1992,6.0,35,76740,60.0
2031,Twin Peaks: Fire Walk with Me,1992,7.2,28,75335,72.0
2032,Malcolm X,1992,7.7,72,74658,77.0
2033,Under Siege,1992,6.5,58,69884,65.0
2034,White Men Can't Jump,1992,6.7,65,68077,67.0
2035,Porco Rosso,1992,7.8,83,60360,78.0
2036,El Mariachi,1992,6.9,73,58466,69.0
2037,Far and Away,1992,6.6,49,54331,66.0
2038,The Mighty Ducks,1992,6.5,46,52201,65.0
2039,Chaplin,1992,7.6,47,49023,76.0
2040,The Player,1992,7.6,86,48878,76.0
2041,A River Runs Through It,1992,7.3,68,48436,73.0
2042,The Crying Game,1992,7.3,90,46857,73.0
2043,The Muppet Christmas Carol,1992,7.7,64,42451,77.0
2044,Buffy the Vampire Slayer,1992,5.6,48,36350,56.0
2045,Encino Man,1992,5.7,25,34179,57.0
2046,Reservoir Dogs,1992,8.3,79,807437,83.0
2047,Unforgiven,1992,8.2,85,335142,82.0
2048,Aladdin,1992,8.0,86,313304,80.0
2049,Alien³,1992,6.4,59,251358,64.0
2050,Batman Returns,1992,7.0,68,249325,70.0
2051,Scent of a Woman,1992,8.0,59,228704,80.0
2052,A Few Good Men,1992,7.7,62,211790,77.0
2053,Bram Stoker's Dracula,1992,7.5,57,170859,75.0
2054,Basic Instinct,1992,6.9,41,154606,69.0
2055,Army of Darkness,1992,7.6,57,149330,76.0
2056,Lethal Weapon 3,1992,6.7,40,144333,67.0
2057,The Last of the Mohicans,1992,7.8,76,134276,78.0
2058,Wayne's World,1992,7.0,57,130678,70.0
2059,The Bodyguard,1992,6.2,39,106683,62.0
2060,My Cousin Vinny,1992,7.6,68,95227,76.0
2061,Death Becomes Her,1992,6.5,56,92914,65.0
2062,Patriot Games,1992,6.9,64,92860,69.0
2063,Glengarry Glen Ross,1992,7.8,80,87765,78.0
2064,Dead Alive,1992,7.5,54,85857,75.0
2065,A League of Their Own,1992,7.2,67,83174,72.0
2066,Sister Act,1992,6.3,51,77742,63.0
2067,Universal Soldier,1992,6.0,35,76740,60.0
2068,Twin Peaks: Fire Walk with Me,1992,7.2,28,75335,72.0
2069,Malcolm X,1992,7.7,72,74658,77.0
2070,Under Siege,1992,6.5,58,69884,65.0
2071,White Men Can't Jump,1992,6.7,65,68077,67.0
2072,Porco Rosso,1992,7.8,83,60360,78.0
2073,El Mariachi,1992,6.9,73,58466,69.0
2074,Far and Away,1992,6.6,49,54331,66.0
2075,The Mighty Ducks,1992,6.5,46,52201,65.0
2076,Chaplin,1992,7.6,47,49023,76.0
2077,The Player,1992,7.6,86,48878,76.0
2078,A River Runs Through It,1992,7.3,68,48436,73.0
2079,The Crying Game,1992,7.3,90,46857,73.0
2080,The Muppet Christmas Carol,1992,7.7,64,42451,77.0
2081,Buffy the Vampire Slayer,1992,5.6,48,36350,56.0
2082,Encino Man,1992,5.7,25,34179,57.0
2083,Reservoir Dogs,1992,8.3,79,807437,83.0
2084,Unforgiven,1992,8.2,85,335142,82.0
2085,Aladdin,1992,8.0,86,313304,80.0
2086,Alien³,1992,6.4,59,251358,64.0
2087,Batman Returns,1992,7.0,68,249325,70.0
2088,Scent of a Woman,1992,8.0,59,228704,80.0
2089,A Few Good Men,1992,7.7,62,211790,77.0
2090,Bram Stoker's Dracula,1992,7.5,57,170859,75.0
2091,Basic Instinct,1992,6.9,41,154606,69.0
2092,Army of Darkness,1992,7.6,57,149330,76.0
2093,Lethal Weapon 3,1992,6.7,40,144333,67.0
2094,The Last of the Mohicans,1992,7.8,76,134276,78.0
2095,Wayne's World,1992,7.0,57,130678,70.0
2096,The Bodyguard,1992,6.2,39,106683,62.0
2097,My Cousin Vinny,1992,7.6,68,95227,76.0
2098,Death Becomes Her,1992,6.5,56,92914,65.0
2099,Patriot Games,1992,6.9,64,92860,69.0
2100,Glengarry Glen Ross,1992,7.8,80,87765,78.0
2101,Dead Alive,1992,7.5,54,85857,75.0
2102,A League of Their Own,1992,7.2,67,83174,72.0
2103,Sister Act,1992,6.3,51,77742,63.0
2104,Universal Soldier,1992,6.0,35,76740,60.0
2105,Twin Peaks: Fire Walk with Me,1992,7.2,28,75335,72.0
2106,Malcolm X,1992,7.7,72,74658,77.0
2107,Under Siege,1992,6.5,58,69884,65.0
2108,White Men Can't Jump,1992,6.7,65,68077,67.0
2109,Porco Rosso,1992,7.8,83,60360,78.0
2110,El Mariachi,1992,6.9,73,58466,69.0
2111,Far and Away,1992,6.6,49,54331,66.0
2112,The Mighty Ducks,1992,6.5,46,52201,65.0
2113,Chaplin,1992,7.6,47,49023,76.0
2114,The Player,1992,7.6,86,48878,76.0
2115,A River Runs Through It,1992,7.3,68,48436,73.0
2116,The Crying Game,1992,7.3,90,46857,73.0
2117,The Muppet Christmas Carol,1992,7.7,64,42451,77.0
2118,Buffy the Vampire Slayer,1992,5.6,48,36350,56.0
2119,Encino Man,1992,5.7,25,34179,57.0
2120,Schindler's List,1993,8.9,93,1065188,89.0
2121,Jurassic Park,1993,8.1,68,768511,81.0
2122,Groundhog Day,1993,8.0,72,533551,80.0
2123,The Nightmare Before Christmas,1993,8.0,82,265287,80.0
2124,The Fugitive,1993,7.8,87,241972,78.0
2125,Mrs. Doubtfire,1993,7.0,53,216317,70.0
2126,Philadelphia,1993,7.7,66,204035,77.0
2127,What's Eating Gilbert Grape,1993,7.8,73,195130,78.0
2128,True Romance,1993,7.9,59,186185,79.0
2129,Falling Down,1993,7.6,56,153884,76.0
2130,Dazed and Confused,1993,7.7,78,145036,77.0
2131,Demolition Man,1993,6.6,34,143411,66.0
2132,Sleepless in Seattle,1993,6.8,72,142998,68.0
2133,In the Name of the Father,1993,8.1,84,139164,81.0
2134,Last Action Hero,1993,6.3,44,123097,63.0
2135,A Bronx Tale,1993,7.8,80,114678,78.0
2136,Tombstone,1993,7.8,50,113141,78.0
2137,Cliffhanger,1993,6.4,60,109859,64.0
2138,Robin Hood: Men in Tights,1993,6.7,44,105592,67.0
2139,The Firm,1993,6.8,58,104424,68.0
2140,In the Line of Fire,1993,7.2,74,84010,72.0
2141,Cool Runnings,1993,6.9,60,83041,69.0
2142,Three Colors: Blue,1993,8.0,85,76647,80.0
2143,The Piano,1993,7.6,89,72282,76.0
2144,Wayne's World 2,1993,6.2,60,70661,62.0
2145,The Pelican Brief,1993,6.6,50,69035,66.0
2146,Addams Family Values,1993,6.7,62,68385,67.0
2147,A Perfect World,1993,7.5,71,66717,75.0
2148,Free Willy,1993,5.9,79,61405,59.0
2149,The Remains of the Day,1993,7.9,84,56470,79.0
2150,Indecent Proposal,1993,5.9,35,56127,59.0
2151,Benny & Joon,1993,7.2,57,51235,72.0
2152,Kalifornia,1993,6.7,49,47056,67.0
2153,Coneheads,1993,5.3,49,46521,53.0
2154,Menace II Society,1993,7.5,76,46071,75.0
2155,Dave,1993,6.8,76,45259,68.0
2156,Schindler's List,1993,8.9,93,1065188,89.0
2157,Jurassic Park,1993,8.1,68,768511,81.0
2158,Groundhog Day,1993,8.0,72,533551,80.0
2159,The Nightmare Before Christmas,1993,8.0,82,265287,80.0
2160,The Fugitive,1993,7.8,87,241972,78.0
2161,Mrs. Doubtfire,1993,7.0,53,216317,70.0
2162,Philadelphia,1993,7.7,66,204035,77.0
2163,What's Eating Gilbert Grape,1993,7.8,73,195130,78.0
2164,True Romance,1993,7.9,59,186185,79.0
2165,Falling Down,1993,7.6,56,153884,76.0
2166,Dazed and Confused,1993,7.7,78,145036,77.0
2167,Demolition Man,1993,6.6,34,143411,66.0
2168,Sleepless in Seattle,1993,6.8,72,142998,68.0
2169,In the Name of the Father,1993,8.1,84,139164,81.0
2170,Last Action Hero,1993,6.3,44,123097,63.0
2171,A Bronx Tale,1993,7.8,80,114678,78.0
2172,Tombstone,1993,7.8,50,113141,78.0
2173,Cliffhanger,1993,6.4,60,109859,64.0
2174,Robin Hood: Men in Tights,1993,6.7,44,105592,67.0
2175,The Firm,1993,6.8,58,104424,68.0
2176,In the Line of Fire,1993,7.2,74,84010,72.0
2177,Cool Runnings,1993,6.9,60,83041,69.0
2178,Three Colors: Blue,1993,8.0,85,76647,80.0
2179,The Piano,1993,7.6,89,72282,76.0
2180,Wayne's World 2,1993,6.2,60,70661,62.0
2181,The Pelican Brief,1993,6.6,50,69035,66.0
2182,Addams Family Values,1993,6.7,62,68385,67.0
2183,A Perfect World,1993,7.5,71,66717,75.0
2184,Free Willy,1993,5.9,79,61405,59.0
2185,The Remains of the Day,1993,7.9,84,56470,79.0
2186,Indecent Proposal,1993,5.9,35,56127,59.0
2187,Benny & Joon,1993,7.2,57,51235,72.0
2188,Kalifornia,1993,6.7,49,47056,67.0
2189,Coneheads,1993,5.3,49,46521,53.0
2190,Menace II Society,1993,7.5,76,46071,75.0
2191,Dave,1993,6.8,76,45259,68.0
2192,Schindler's List,1993,8.9,93,1065188,89.0
2193,Jurassic Park,1993,8.1,68,768511,81.0
2194,Groundhog Day,1993,8.0,72,533551,80.0
2195,The Nightmare Before Christmas,1993,8.0,82,265287,80.0
2196,The Fugitive,1993,7.8,87,241972,78.0
2197,Mrs. Doubtfire,1993,7.0,53,216317,70.0
2198,Philadelphia,1993,7.7,66,204035,77.0
2199,What's Eating Gilbert Grape,1993,7.8,73,195130,78.0
2200,True Romance,1993,7.9,59,186185,79.0
2201,Falling Down,1993,7.6,56,153884,76.0
2202,Dazed and Confused,1993,7.7,78,145036,77.0
2203,Demolition Man,1993,6.6,34,143411,66.0
2204,Sleepless in Seattle,1993,6.8,72,142998,68.0
2205,In the Name of the Father,1993,8.1,84,139164,81.0
2206,Last Action Hero,1993,6.3,44,123097,63.0
2207,A Bronx Tale,1993,7.8,80,114678,78.0
2208,Tombstone,1993,7.8,50,113141,78.0
2209,Cliffhanger,1993,6.4,60,109859,64.0
2210,Robin Hood: Men in Tights,1993,6.7,44,105592,67.0
2211,The Firm,1993,6.8,58,104424,68.0
2212,In the Line of Fire,1993,7.2,74,84010,72.0
2213,Cool Runnings,1993,6.9,60,83041,69.0
2214,Three Colors: Blue,1993,8.0,85,76647,80.0
2215,The Piano,1993,7.6,89,72282,76.0
2216,Wayne's World 2,1993,6.2,60,70661,62.0
2217,The Pelican Brief,1993,6.6,50,69035,66.0
2218,Addams Family Values,1993,6.7,62,68385,67.0
2219,A Perfect World,1993,7.5,71,66717,75.0
2220,Free Willy,1993,5.9,79,61405,59.0
2221,The Remains of the Day,1993,7.9,84,56470,79.0
2222,Indecent Proposal,1993,5.9,35,56127,59.0
2223,Benny & Joon,1993,7.2,57,51235,72.0
2224,Kalifornia,1993,6.7,49,47056,67.0
2225,Coneheads,1993,5.3,49,46521,53.0
2226,Menace II Society,1993,7.5,76,46071,75.0
2227,Dave,1993,6.8,76,45259,68.0
2228,Schindler's List,1993,8.9,93,1065188,89.0
2229,Jurassic Park,1993,8.1,68,768511,81.0
2230,Groundhog Day,1993,8.0,72,533551,80.0
2231,The Nightmare Before Christmas,1993,8.0,82,265287,80.0
2232,The Fugitive,1993,7.8,87,241972,78.0
2233,Mrs. Doubtfire,1993,7.0,53,216317,70.0
2234,Philadelphia,1993,7.7,66,204035,77.0
2235,What's Eating Gilbert Grape,1993,7.8,73,195130,78.0
2236,True Romance,1993,7.9,59,186185,79.0
2237,Falling Down,1993,7.6,56,153884,76.0
2238,Dazed and Confused,1993,7.7,78,145036,77.0
2239,Demolition Man,1993,6.6,34,143411,66.0
2240,Sleepless in Seattle,1993,6.8,72,142998,68.0
2241,In the Name of the Father,1993,8.1,84,139164,81.0
2242,Last Action Hero,1993,6.3,44,123097,63.0
2243,A Bronx Tale,1993,7.8,80,114678,78.0
2244,Tombstone,1993,7.8,50,113141,78.0
2245,Cliffhanger,1993,6.4,60,109859,64.0
2246,Robin Hood: Men in Tights,1993,6.7,44,105592,67.0
2247,The Firm,1993,6.8,58,104424,68.0
2248,In the Line of Fire,1993,7.2,74,84010,72.0
2249,Cool Runnings,1993,6.9,60,83041,69.0
2250,Three Colors: Blue,1993,8.0,85,76647,80.0
2251,The Piano,1993,7.6,89,72282,76.0
2252,Wayne's World 2,1993,6.2,60,70661,62.0
2253,The Pelican Brief,1993,6.6,50,69035,66.0
2254,Addams Family Values,1993,6.7,62,68385,67.0
2255,A Perfect World,1993,7.5,71,66717,75.0
2256,Free Willy,1993,5.9,79,61405,59.0
2257,The Remains of the Day,1993,7.9,84,56470,79.0
2258,Indecent Proposal,1993,5.9,35,56127,59.0
2259,Benny & Joon,1993,7.2,57,51235,72.0
2260,Kalifornia,1993,6.7,49,47056,67.0
2261,Coneheads,1993,5.3,49,46521,53.0
2262,Menace II Society,1993,7.5,76,46071,75.0
2263,Dave,1993,6.8,76,45259,68.0
2264,The Shawshank Redemption,1994,9.3,80,2056777,93.0
2265,Pulp Fiction,1994,8.9,94,1607421,89.0
2266,Forrest Gump,1994,8.8,82,1574477,88.0
2267,Léon: The Professional,1994,8.6,64,905320,86.0
2268,The Lion King,1994,8.5,83,815839,85.0
2269,Dumb and Dumber,1994,7.3,41,325430,73.0
2270,The Mask,1994,6.9,56,309822,69.0
2271,Speed,1994,7.2,78,298411,72.0
2272,Interview with the Vampire: The Vampire Chronicles,1994,7.6,59,271057,76.0
2273,Ace Ventura: Pet Detective,1994,6.9,37,251403,69.0
2274,True Lies,1994,7.2,63,216962,72.0
2275,Clerks,1994,7.8,70,199681,78.0
2276,Natural Born Killers,1994,7.3,74,197676,73.0
2277,Stargate,1994,7.1,42,164035,71.0
2278,Ed Wood,1994,7.9,70,156052,79.0
2279,The Crow,1994,7.6,71,153451,76.0
2280,Legends of the Fall,1994,7.5,45,130979,75.0
2281,Four Weddings and a Funeral,1994,7.1,81,124535,71.0
2282,Maverick,1994,7.0,62,93911,70.0
2283,Naked Gun 33 1/3: The Final Insult,1994,6.5,63,88015,65.0
2284,The Santa Clause,1994,6.4,57,84400,64.0
2285,Clear and Present Danger,1994,6.9,74,80387,69.0
2286,Three Colors: Red,1994,8.1,100,78385,81.0
2287,The Hudsucker Proxy,1994,7.3,53,72099,73.0
2288,Beverly Hills Cop III,1994,5.5,16,69674,55.0
2289,Star Trek: Generations,1994,6.6,55,69327,66.0
2290,The Flintstones,1994,4.9,38,69054,49.0
2291,Junior,1994,4.6,59,60243,46.0
2292,Quiz Show,1994,7.5,88,60177,75.0
2293,Ri¢hie Ri¢h,1994,5.3,49,57438,53.0
2294,Three Colors: White,1994,7.7,88,54587,77.0
2295,The Client,1994,6.7,65,53764,67.0
2296,In the Mouth of Madness,1994,7.2,53,52448,72.0
2297,Shallow Grave,1994,7.3,67,52266,73.0
2298,Chungking Express,1994,8.1,77,51616,81.0
2299,Timecop,1994,5.8,48,51026,58.0
2300,New Nightmare,1994,6.5,64,45569,65.0
2301,Don Juan DeMarco,1994,6.7,63,45372,67.0
2302,Little Women,1994,7.3,87,43092,73.0
2303,"The Adventures of Priscilla, Queen of the Desert",1994,7.5,68,42633,75.0
2304,Airheads,1994,6.1,46,42537,61.0
2305,Disclosure,1994,6.1,58,41864,61.0
2306,The Shawshank Redemption,1994,9.3,80,2056777,93.0
2307,Pulp Fiction,1994,8.9,94,1607421,89.0
2308,Forrest Gump,1994,8.8,82,1574477,88.0
2309,Léon: The Professional,1994,8.6,64,905320,86.0
2310,The Lion King,1994,8.5,83,815839,85.0
2311,Dumb and Dumber,1994,7.3,41,325430,73.0
2312,The Mask,1994,6.9,56,309822,69.0
2313,Speed,1994,7.2,78,298411,72.0
2314,Interview with the Vampire: The Vampire Chronicles,1994,7.6,59,271057,76.0
2315,Ace Ventura: Pet Detective,1994,6.9,37,251403,69.0
2316,True Lies,1994,7.2,63,216962,72.0
2317,Clerks,1994,7.8,70,199681,78.0
2318,Natural Born Killers,1994,7.3,74,197676,73.0
2319,Stargate,1994,7.1,42,164035,71.0
2320,Ed Wood,1994,7.9,70,156052,79.0
2321,The Crow,1994,7.6,71,153451,76.0
2322,Legends of the Fall,1994,7.5,45,130979,75.0
2323,Four Weddings and a Funeral,1994,7.1,81,124535,71.0
2324,Maverick,1994,7.0,62,93911,70.0
2325,Naked Gun 33 1/3: The Final Insult,1994,6.5,63,88015,65.0
2326,The Santa Clause,1994,6.4,57,84400,64.0
2327,Clear and Present Danger,1994,6.9,74,80387,69.0
2328,Three Colors: Red,1994,8.1,100,78385,81.0
2329,The Hudsucker Proxy,1994,7.3,53,72099,73.0
2330,Beverly Hills Cop III,1994,5.5,16,69674,55.0
2331,Star Trek: Generations,1994,6.6,55,69327,66.0
2332,The Flintstones,1994,4.9,38,69054,49.0
2333,Junior,1994,4.6,59,60243,46.0
2334,Quiz Show,1994,7.5,88,60177,75.0
2335,Ri¢hie Ri¢h,1994,5.3,49,57438,53.0
2336,Three Colors: White,1994,7.7,88,54587,77.0
2337,The Client,1994,6.7,65,53764,67.0
2338,In the Mouth of Madness,1994,7.2,53,52448,72.0
2339,Shallow Grave,1994,7.3,67,52266,73.0
2340,Chungking Express,1994,8.1,77,51616,81.0
2341,Timecop,1994,5.8,48,51026,58.0
2342,New Nightmare,1994,6.5,64,45569,65.0
2343,Don Juan DeMarco,1994,6.7,63,45372,67.0
2344,Little Women,1994,7.3,87,43092,73.0
2345,"The Adventures of Priscilla, Queen of the Desert",1994,7.5,68,42633,75.0
2346,Airheads,1994,6.1,46,42537,61.0
2347,Disclosure,1994,6.1,58,41864,61.0
2348,The Shawshank Redemption,1994,9.3,80,2056777,93.0
2349,Pulp Fiction,1994,8.9,94,1607421,89.0
2350,Forrest Gump,1994,8.8,82,1574477,88.0
2351,Léon: The Professional,1994,8.6,64,905320,86.0
2352,The Lion King,1994,8.5,83,815839,85.0
2353,Dumb and Dumber,1994,7.3,41,325430,73.0
2354,The Mask,1994,6.9,56,309822,69.0
2355,Speed,1994,7.2,78,298411,72.0
2356,Interview with the Vampire: The Vampire Chronicles,1994,7.6,59,271057,76.0
2357,Ace Ventura: Pet Detective,1994,6.9,37,251403,69.0
2358,True Lies,1994,7.2,63,216962,72.0
2359,Clerks,1994,7.8,70,199681,78.0
2360,Natural Born Killers,1994,7.3,74,197676,73.0
2361,Stargate,1994,7.1,42,164035,71.0
2362,Ed Wood,1994,7.9,70,156052,79.0
2363,The Crow,1994,7.6,71,153451,76.0
2364,Legends of the Fall,1994,7.5,45,130979,75.0
2365,Four Weddings and a Funeral,1994,7.1,81,124535,71.0
2366,Maverick,1994,7.0,62,93911,70.0
2367,Naked Gun 33 1/3: The Final Insult,1994,6.5,63,88015,65.0
2368,The Santa Clause,1994,6.4,57,84400,64.0
2369,Clear and Present Danger,1994,6.9,74,80387,69.0
2370,Three Colors: Red,1994,8.1,100,78385,81.0
2371,The Hudsucker Proxy,1994,7.3,53,72099,73.0
2372,Beverly Hills Cop III,1994,5.5,16,69674,55.0
2373,Star Trek: Generations,1994,6.6,55,69327,66.0
2374,The Flintstones,1994,4.9,38,69054,49.0
2375,Junior,1994,4.6,59,60243,46.0
2376,Quiz Show,1994,7.5,88,60177,75.0
2377,Ri¢hie Ri¢h,1994,5.3,49,57438,53.0
2378,Three Colors: White,1994,7.7,88,54587,77.0
2379,The Client,1994,6.7,65,53764,67.0
2380,In the Mouth of Madness,1994,7.2,53,52448,72.0
2381,Shallow Grave,1994,7.3,67,52266,73.0
2382,Chungking Express,1994,8.1,77,51616,81.0
2383,Timecop,1994,5.8,48,51026,58.0
2384,New Nightmare,1994,6.5,64,45569,65.0
2385,Don Juan DeMarco,1994,6.7,63,45372,67.0
2386,Little Women,1994,7.3,87,43092,73.0
2387,"The Adventures of Priscilla, Queen of the Desert",1994,7.5,68,42633,75.0
2388,Airheads,1994,6.1,46,42537,61.0
2389,Disclosure,1994,6.1,58,41864,61.0
2390,The Shawshank Redemption,1994,9.3,80,2056777,93.0
2391,Pulp Fiction,1994,8.9,94,1607421,89.0
2392,Forrest Gump,1994,8.8,82,1574477,88.0
2393,Léon: The Professional,1994,8.6,64,905320,86.0
2394,The Lion King,1994,8.5,83,815839,85.0
2395,Dumb and Dumber,1994,7.3,41,325430,73.0
2396,The Mask,1994,6.9,56,309822,69.0
2397,Speed,1994,7.2,78,298411,72.0
2398,Interview with the Vampire: The Vampire Chronicles,1994,7.6,59,271057,76.0
2399,Ace Ventura: Pet Detective,1994,6.9,37,251403,69.0
2400,True Lies,1994,7.2,63,216962,72.0
2401,Clerks,1994,7.8,70,199681,78.0
2402,Natural Born Killers,1994,7.3,74,197676,73.0
2403,Stargate,1994,7.1,42,164035,71.0
2404,Ed Wood,1994,7.9,70,156052,79.0
2405,The Crow,1994,7.6,71,153451,76.0
2406,Legends of the Fall,1994,7.5,45,130979,75.0
2407,Four Weddings and a Funeral,1994,7.1,81,124535,71.0
2408,Maverick,1994,7.0,62,93911,70.0
2409,Naked Gun 33 1/3: The Final Insult,1994,6.5,63,88015,65.0
2410,The Santa Clause,1994,6.4,57,84400,64.0
2411,Clear and Present Danger,1994,6.9,74,80387,69.0
2412,Three Colors: Red,1994,8.1,100,78385,81.0
2413,The Hudsucker Proxy,1994,7.3,53,72099,73.0
2414,Beverly Hills Cop III,1994,5.5,16,69674,55.0
2415,Star Trek: Generations,1994,6.6,55,69327,66.0
2416,The Flintstones,1994,4.9,38,69054,49.0
2417,Junior,1994,4.6,59,60243,46.0
2418,Quiz Show,1994,7.5,88,60177,75.0
2419,Ri¢hie Ri¢h,1994,5.3,49,57438,53.0
2420,Three Colors: White,1994,7.7,88,54587,77.0
2421,The Client,1994,6.7,65,53764,67.0
2422,In the Mouth of Madness,1994,7.2,53,52448,72.0
2423,Shallow Grave,1994,7.3,67,52266,73.0
2424,Chungking Express,1994,8.1,77,51616,81.0
2425,Timecop,1994,5.8,48,51026,58.0
2426,New Nightmare,1994,6.5,64,45569,65.0
2427,Don Juan DeMarco,1994,6.7,63,45372,67.0
2428,Little Women,1994,7.3,87,43092,73.0
2429,"The Adventures of Priscilla, Queen of the Desert",1994,7.5,68,42633,75.0
2430,Airheads,1994,6.1,46,42537,61.0
2431,Disclosure,1994,6.1,58,41864,61.0
2432,Se7en,1995,8.6,65,1260385,86.0
2433,The Usual Suspects,1995,8.6,77,891345,86.0
2434,Braveheart,1995,8.4,68,879000,84.0
2435,Toy Story,1995,8.3,95,775770,83.0
2436,Twelve Monkeys,1995,8.0,74,534506,80.0
2437,Heat,1995,8.2,76,516292,82.0
2438,Casino,1995,8.2,73,407463,82.0
2439,Die Hard with a Vengeance,1995,7.6,58,337170,76.0
2440,Jumanji,1995,6.9,39,264326,69.0
2441,Apollo 13,1995,7.6,77,241751,76.0
2442,Before Sunrise,1995,8.1,77,233642,81.0
2443,GoldenEye,1995,7.2,65,220697,72.0
2444,Batman Forever,1995,5.4,51,217471,54.0
2445,Bad Boys,1995,6.9,41,203906,69.0
2446,Ace Ventura: When Nature Calls,1995,6.4,45,185172,64.0
2447,Waterworld,1995,6.2,56,164278,62.0
2448,Desperado,1995,7.2,55,157792,72.0
2449,Clueless,1995,6.8,68,153324,68.0
2450,Pocahontas,1995,6.7,58,148794,67.0
2451,Billy Madison,1995,6.4,16,119735,64.0
2452,Ghost in the Shell,1995,8.0,76,113047,80.0
2453,Mallrats,1995,7.2,41,108098,72.0
2454,Babe,1995,6.8,83,107535,68.0
2455,Leaving Las Vegas,1995,7.5,82,105611,75.0
2456,Casper,1995,6.1,49,104926,61.0
2457,Outbreak,1995,6.6,65,99798,66.0
2458,The Basketball Diaries,1995,7.3,46,92873,73.0
2459,Crimson Tide,1995,7.3,66,92547,73.0
2460,Mortal Kombat,1995,5.8,58,92541,58.0
2461,Sense and Sensibility,1995,7.7,84,90723,77.0
2462,Friday,1995,7.3,54,89494,73.0
2463,While You Were Sleeping,1995,6.7,67,83207,67.0
2464,Dead Man,1995,7.7,62,82673,77.0
2465,Dead Man Walking,1995,7.5,80,82001,75.0
2466,The Quick and the Dead,1995,6.4,49,77835,64.0
2467,Get Shorty,1995,6.9,82,70289,69.0
2468,Tommy Boy,1995,7.1,46,70031,71.0
2469,Species,1995,5.8,49,68364,58.0
2470,Kids,1995,7.0,63,66851,70.0
2471,The Bridges of Madison County,1995,7.6,66,64520,76.0
2472,Strange Days,1995,7.2,66,61858,72.0
2473,The City of Lost Children,1995,7.6,73,61120,76.0
2474,Hackers,1995,6.2,46,60953,62.0
2475,Se7en,1995,8.6,65,1260385,86.0
2476,The Usual Suspects,1995,8.6,77,891345,86.0
2477,Braveheart,1995,8.4,68,879000,84.0
2478,Toy Story,1995,8.3,95,775770,83.0
2479,Twelve Monkeys,1995,8.0,74,534506,80.0
2480,Heat,1995,8.2,76,516292,82.0
2481,Casino,1995,8.2,73,407463,82.0
2482,Die Hard with a Vengeance,1995,7.6,58,337170,76.0
2483,Jumanji,1995,6.9,39,264326,69.0
2484,Apollo 13,1995,7.6,77,241751,76.0
2485,Before Sunrise,1995,8.1,77,233642,81.0
2486,GoldenEye,1995,7.2,65,220697,72.0
2487,Batman Forever,1995,5.4,51,217471,54.0
2488,Bad Boys,1995,6.9,41,203906,69.0
2489,Ace Ventura: When Nature Calls,1995,6.4,45,185172,64.0
2490,Waterworld,1995,6.2,56,164278,62.0
2491,Desperado,1995,7.2,55,157792,72.0
2492,Clueless,1995,6.8,68,153324,68.0
2493,Pocahontas,1995,6.7,58,148794,67.0
2494,Billy Madison,1995,6.4,16,119735,64.0
2495,Ghost in the Shell,1995,8.0,76,113047,80.0
2496,Mallrats,1995,7.2,41,108098,72.0
2497,Babe,1995,6.8,83,107535,68.0
2498,Leaving Las Vegas,1995,7.5,82,105611,75.0
2499,Casper,1995,6.1,49,104926,61.0
2500,Outbreak,1995,6.6,65,99798,66.0
2501,The Basketball Diaries,1995,7.3,46,92873,73.0
2502,Crimson Tide,1995,7.3,66,92547,73.0
2503,Mortal Kombat,1995,5.8,58,92541,58.0
2504,Sense and Sensibility,1995,7.7,84,90723,77.0
2505,Friday,1995,7.3,54,89494,73.0
2506,While You Were Sleeping,1995,6.7,67,83207,67.0
